"Termino","Area","Descripcion_Termino"
"""Información cursos ""","""RRHH""","""Corresponde información de los cursos, e incluye información de identificación de la OTEC, del curso impartido, costos, requisitos, asistencia, entre otros."""
"""Información aula virtual GESOC""","""RRHH""","""Corresponde a la plataforma donde se realizan los cursos, cuáles son los cursos y la información de éstos impartidos por la OTEC GESOC de Empresas Socovesa. """
"""Capacitación laboral""","""RRHH""","""Corresponde a un método aplicado por las empresas para que su personal adquiera nuevos conocimientos profesionales. La capacitación puede ser realizada tanto para que el trabajador adquiera habilidades técnicas como para la adquisición de habilidades conductuales."""
"""Organismo técnico de capacitación (OTEC)""","""RRHH""","""Empresa autorizada para diseñar y desarrollar actividades de capacitación o cursos con franquicia tributaria. Permite solicitar la autorización y acreditación al Servicio Nacional de Capacitación y Empleo (SENCE)"""
"""Información laboral""","""RRHH""","""Corresponde a información laboral del trabajador que da cuenta de su condición en la empresa. Incluye los siguientes datos: fecha inicio de contrato, lugar de trabajo, ciudad, proyecto, tipo de jornada y antigüedad en la posición."""
"""Datos relación de parentesco familiar dentro de la empresa""","""RRHH""","""Corresponde a la información de la declaración de relación de parentesco con otras personas de Empresas Socovesa. Los datos solicitados son: Vinculo con el familiar, nombre completo y cargo."""
"""Puntaje solución de problemas para el cargo (Metodología HAY)""","""RRHH""","""Corresponde al puntaje que el cargo requiere en cuanto al actuar (solución de problemas), de acuerdo al ""Sistema HAY""."""
"""Puntaje responsabilidad para el cargo (Metodología HAY)""","""RRHH""","""Corresponde al puntaje que el cargo requiere en cuanto a la responsabilidad (account ability), de acuerdo al ""Sistema HAY""."""
"""Puntaje saber para el cargo (Metodología HAY)""","""RRHH""","""Corresponde al puntaje que el cargo requiere en cuanto al conocimiento (know how), de acuerdo al ""Sistema HAY""."""
"""Datos del mercado inmobiliario""","""Inmobiliaria""","""Corresponde a datos relevantes de la oferta inmobiliaria y considera datos de superficie (m2), precios (UF), comunas, un periodo del año (trimestre). Esta información se encuentra actualizada a través de Real Data Consultores Inmobiliarios."""
"""Datos del terreno""","""Inmobiliaria""","""Los datos del terreno incluyen información relacionada con el nombre, comuna, provincia, región, normativa, corredor de propiedades, cantidad de propiedades por terreno, entre otras."""
"""Código PCT/ Carpeta física""","""Inmobiliaria""","""Ambos conceptos hacen referencia al código distintivo de un terreno creado para la clasificación de estos mismos. Está compuesto por las primeras iniciales de la comuna, seguido del número del terreno."""
"""Habilidades técnicas a capacitar (Resultado evaluación de desempeño)""","""RRHH""","""Hace referencia a las competencias asociadas al uso de herramientas que son necesarias para ejercer el trabajo. Corresponde a una necesidad de capacitación obtenidas desde los resultados de la evaluación de desempeño."""
"""Habilidades conductuales-relacionales a capacitar (Resultado evaluación de desempeño)""","""RRHH""","""Hace referencia a las características de comportamiento que fortalecen diversos aspectos de su desempeño laboral. Corresponde a una necesidad de capacitación obtenida desde los resultados de la evaluación de desempeño."""
"""Datos planos de respaldo de cubicaciones""","""Construcción""","""Corresponden a los datos de superficies y cubicaciones de materiales por obra almacenados en archivos AutoCAD."""
"""Cubicaciones de hormigón""","""Construcción""","""Corresponde al volumen en metros cuadrados de hormigón por cierta superficie en metros cuadrados de un proyecto. Constructora Socovesa obtiene este dato de una consultora externa."""
"""Cubicación de moldaje""","""Construcción""","""Corresponde al volumen en metros cuadrados de moldaje por cierta superficie en metros cuadrados de un proyecto. Constructora Socovesa obtiene este dato de una consultora externa."""
"""Cubicación de fierro""","""Construcción""","""Corresponde al volumen en kilogramos de fierro por cierta superficie en metros cuadrados de un proyecto."""
"""Cubicaciones de terminaciones""","""Construcción""","""Corresponde al volumen de cierto material (que corresponda terminaciones) para cierta superficie en metros cuadrados de un proyecto."""
"""Cuadro de cotizaciones subcontratos""","""Construcción""","""Corresponde a un cuadro comparativo de las cotizaciones a distintos proveedores respecto a un determinado insumo (pilas, anclajes, ascensores, basura, puertas, ventanas, muebles, cubiertas de muebles, impermeabilización, paisajismo, grupo electrógeno, equipos hidráulicos, corrientes débiles, electricidad, sanitario, clima, etc.)"""
"""Presupuesto obra""","""Construcción""","""Corresponde al costo presupuestado en UF para el proyecto"""
"""Presupuesto inmobiliaria""","""Construcción""","""Corresponde al costo presupuestado en UF para el proyecto más la utilidad de la inmobiliaria"""
"""Mano de obra subcontratada (M.O.S.)""","""Construcción""","""Corresponde al valor presupuestado total de la mano de obra que se subcontrata por proyecto."""
"""Mano de obra directa (M.O.D.)""","""Construcción""","""Corresponde al valor presupuestado total de la mano de obra que es contratada por la constructora por proyecto."""
"""Presupuesto""","""Construcción""","""Cálculo anticipado del costo de una obra o un servicio."""
"""Presupuesto obras preliminares""","""Construcción""","""Cálculo anticipado del costo de las obras que se dan al inicio de un proyecto, por ejemplo: cierres provisorios, instalación de faena, demoliciones, etc."""
"""Presupuesto entibaciones""","""Construcción""","""Cálculo anticipado del costo del socalzado de la obra, que corresponde a movimientos de tierra y sistemas de entibaciones (""soil nailing"", pilas o pilotes)."""
"""Presupuesto obra gruesa""","""Construcción""","""Cálculo anticipado del costo de la obra gruesa de un proyecto (enfierradora, moldajes, hormigón, etc.)"""
"""Presupuesto terminaciones""","""Construcción""","""Cálculo anticipado de costo de las terminaciones de las obras."""
"""Análisis precio unitario (APU)""","""Construcción""","""Corresponde al presupuesto detallado por partida (ítem único)."""
"""Gastos generales (GG)""","""Construcción""","""Corresponde al gasto efectuado en la oficina central por conceptos de movilización, elementos de aseo, elementos de seguridad, ampolletas, focos gas, combustible, caja chica, cocina, etc. También se incluyen gastos como el personal técnico de obra; preparación de departamentos; personal auxiliar; consumos varios; maquinaria y equipos menores."""
"""Notas técnicas al presupuesto""","""Construcción""","""Corresponden a las consideraciones técnicas del presupuesto, tales como los valores pro forma (VPF) de subcontratos, conceptos que se consideran y no se consideran dentro de presupuesto; y otras consideraciones técnicas para obtener el valor del presupuesto."""
"""Notas genéricas al presupuesto""","""Construcción""","""Corresponden a las consideraciones del contrato presentado por la Constructora a la Inmobiliaria, respecto a obligaciones, permisos y otros detalles."""
"""Obra gruesa (OG)""","""Construcción""","""Corresponde a la parte de una edificación que abarca desde los cimientos hasta la techumbre, incluida la totalidad de su estructura y muros divisorios, sin incluir las instalaciones, las terminaciones y cierres de vanos. Se incluye la enfierradura, los moldajes, el hormigón, entre otros."""
"""Terminaciones y revestimientos""","""Construcción""","""Corresponden a todas aquellas obras definitivas que, a diferencia de la obra gruesa, no poseen un carácter estructural, pero son necesarias para el buen funcionamiento de ella. Son arreglos para darle finalización a los detalles, aportando un aspecto estético y habitable a toda la obra."""
"""Cubicación""","""Construcción""","""Corresponde al procedimiento mediante el cual se calcula el volumen y la capacidad de un objeto o espacio. De ese modo, es posible estimar la cantidad de material necesario para desarrollar una edificación."""
"""Plazos preliminares obra gruesa""","""Construcción""","""Corresponde al periodo de tiempo estipulado de forma anticipada para la ejecución de la obra gruesa de una obra. Es el establecido en la Línea de Balance de Gastos Generales (LOB GG)"""
"""Plazos preliminares terminaciones""","""Construcción""","""Corresponde al periodo de tiempo estipulado de forma anticipada para la ejecución de las terminaciones de una obra. Es el establecido en la Línea de Balance de Gastos Generales (LOB GG)"""
"""Línea de balance de gastos generales (LOB GG)""","""Construcción""","""Representación gráfica preliminar de las actividades de una obra, como una serie de líneas inclinadas que muestran la tasa de producción y que permiten detectar interferencias entre las distintas actividades. Incluye la ejecución de obra gruesa y terminaciones de forma genérica."""
"""Plazos oficiales obra gruesa""","""Construcción""","""Corresponde al periodo de tiempo estipulado de forma oficial para la ejecución de la obra gruesa de una obra. Es el establecido en la Línea de Balance Oficial (LOB)."""
"""Plazos oficiales terminaciones""","""Construcción""","""Corresponde al periodo de tiempo estipulado de forma oficial para la ejecución de las terminaciones de una obra. Es el establecido en la Línea de Balance Oficial (LOB)."""
"""Línea de balance oficial (LOB)""","""Construcción""","""Representación gráfica oficial de las actividades de una obra, como una serie de líneas inclinadas que muestran la tasa de producción y que permiten detectar interferencias entre las distintas actividades. Incluye la ejecución de obra gruesa y terminaciones de forma detallada."""
"""Avance físico de obra""","""Construcción""","""Progreso observado por el planificador de obra basado en el porcentaje de avance por actividad, por casa y por departamento-piso."""
"""Ritmo de avance de obra""","""Construcción""","""Casa/departamentos semanales. En caso de obra gruesa de edificios, pisos mensuales."""
"""Proyección de termino de actividad/obra""","""Construcción""","""Proyección que se hace en base a los ritmos reales de la obra indicando cuando va a terminar una actividad y como interfiere con sus actividades predecesoras y sucesoras."""
"""Plazos avanzados/proyectados por actividad/obra""","""Construcción""","""Control de avance de obras no rítmicas de proyecto (por ejemplo, fachadas y exteriores)."""
"""Desviación del ritmo de actividades""","""Construcción""","""Indica como estoy desplazado de mi planificación inicial, como estoy al día de hoy respecto de mi día inicial y como debería terminar, siempre considerando unidades terminadas completas."""
"""Matriz de terminalidad de actividades""","""Construcción""","""La matriz de terminalidad indica el estado de cada departamento respecto a una actividad (foto del momento)."""
"""Planificación semanal de obra""","""Construcción""","""Corresponde a la planificación de actividades de la obra para un periodo semanal. La planificación es definida por el equipo de obra y el planificador."""
"""Planificación intermedia de obra""","""Construcción""","""Corresponde a la planificación de actividades de la obra para un periodo de doce semanas. La planificación es definida por el equipo de obra y el planificador."""
"""Planificación de control de producción (PCP)""","""Construcción""","""Corresponde al modo de planificación utilizado por las obras. Incluye la planificación semanal, planificación intermedia, desviación del ritmo, terminalidad y rendimientos."""
"""Rendimiento obra gruesa (m2/hd)""","""Construcción""","""Indicador metro cuadrado por hombre día en actividades de obra gruesa (por ejemplo, moldaje)"""
"""Rendimiento de actividades críticas (m2/hd)""","""Construcción""","""Indica cuántos metros cuadrados avanza un trabajador por día (hombre-día) en actividades críticas (tabiques, cerámica, empastes y pinturas)."""
"""Índice remoción de restricciones""","""Construcción""","""Indica cuantas restricciones se levantaron en un periodo en una obra."""
"""Indicador de terminalidad""","""Construcción""","""Corresponde al número de unidades terminadas respecto al total de unidades que han sido iniciadas, Este indicador es realizado por el planificador y el encargado de calidad."""
"""Costo contable proyecto""","""Construcción""","""Corresponde a la suma de los gastos efectuados y facturados asociados al proyecto dentro del mes. Estos gastos se clasifican en gastos de materiales, gastos de contratos y subcontratos, gastos generales y gastos de la mano de obra."""
"""Gastos del proyecto""","""Construcción""","""Corresponde a la suma de los gastos consumidos asociados al proyecto dentro del mes. Estos gastos se clasifican en gastos de materiales, gastos de contratos y subcontratos, gastos generales y gastos de la mano de obra."""
"""Carátula de pago""","""Construcción""","""Corresponde a la presentación visual del estado de pago en un PDF que muestra de manera resumida el monto a pagar y corresponde a la información que se envía a contabilidad para generar la factura. En el caso de un proyecto, corresponde al avance edificado respecto al cual se hacen los cobros."""
"""Gastos-ingresos departamentos internos constructora""","""Construcción""","""Corresponde a los gastos e ingresos de los departamentos internos de la constructora, se incluyen los gastos de maquinarias, seguridad, paisajismo, distribución, bodega central entre otros."""
"""Análisis físico financiero (AFF)""","""Construcción""","""Planilla de control que trae el presupuesto completo, el avance mensual, gastos y la proyección de la obra. Porcentaje de avance que alimenta la facturación."""
"""Valor proforma (VPF)""","""Construcción""","""Estimación del precio de un objeto, conjunto de objetos, ítem o partida de un presupuesto cuya determinación exacta y precisa no es posible de establecer en la etapa de estudio del precio de un proyecto."""
"""Hombre día (HD)""","""Construcción""","""Indica cuántos trabajadores realizan una determinada actividad por día de trabajo."""
"""Avance estados de pago obra""","""Construcción""","""Corresponde al avance físico por partida (obra gruesa, terminaciones, gastos generales, etc.) respecto del presupuesto de la obra que genera estados de pago respectivos y mensuales."""
"""Valor ganado obra""","""Construcción""","""Corresponde al valor esperado de lo que deberías tener gastado de acuerdo al estado de avance de estado de pago."""
"""Proyección de costos por familia""","""Construcción""","""Corresponde al cierre en UF del costo por concepto de gastos generales, maquinarias y equipos, materiales, subcontratos y mano de obra (familias de costos). La diferencia entre el costo presupuesto y la proyección del costo generan ahorros o mayores costos (pérdidas)."""
"""Presupuesto obras extras""","""Construcción""","""Presupuesto por conceptos adicionales como cambios en las especificaciones de la obra, acuerdos de ventas o solicitudes de clientes."""
"""Resultados mano de obra""","""Construcción""","""Resultados generales relacionados con la mano de obra en UF o en hombre día presupuestada, proyectada y sus diferencias. La información puede obtenerse por año, por proyecto, por etapa, por tipo de obra, entre otros."""
"""Parámetros mano de obra""","""Construcción""","""Indica el costo de la mano de obra en UF o en hombre día (HD) por metro cuadrado. La información puede obtenerse por año, por proyecto, por etapa, por tipo de obra, entre otros."""
"""Rendimiento mano de obra por especialidad (obra gruesa y terminaciones)""","""Construcción""","""Cantidad de unidades ejecutadas en un día por cada especialidad (jornal, maestro, pintor, etc.). La información puede obtenerse por año, por proyecto, por tipo de obra (obra gruesa, terminaciones) entre otros."""
"""Parámetro de costo UF/M2 total""","""Construcción""","""Costo del proyecto total en UF por metro cuadrado total"""
"""Parámetro de costo UF/M2 Util""","""Construcción""","""Costo del proyecto total en UF por metro cuadrado útil."""
"""Parámetro de costo UF/M2 Edificio""","""Construcción""","""Costo del proyecto total en UF por metro cuadrado edificio"""
"""Parámetro de costo mano de obra UF/M2 total""","""Construcción""","""Costo total de proyecto en UF que corresponde a mano de obra."""
"""Parámetro de rendimiento HD/M2 Total""","""Construcción""","""Costo total de proyecto en Hombre día (HD) que corresponde a mano de obra."""
"""Parámetro de costo UF/HD""","""Construcción""","""Costo total del proyecto en UF por Hombre día (HD)"""
"""Indicador uso de tecnología obra""","""Construcción""","""Indica cómo está la obra en tecnología respecto del mercado. Si está en rojo, naranja y verde. El indicador se puede obtener por proyecto y por año."""
"""Benchmark obra gruesa""","""Construcción""","""Indica cómo está la empresa en sus rendimientos de obra gruesa respecto del mercado. Si está en rojo, naranja y verde. El indicador se puede obtener por proyecto y por año."""
"""Benchmark terminaciones""","""Construcción""","""Indica cómo está la empresa en rendimiento de terminaciones respecto del mercado. Si está en rojo, naranja y verde. El indicador se puede obtener por proyecto y por año."""
"""Indicador seguridad y salud ocupacional (SSO)""","""Construcción""","""Indicador entregado por la mutual respecto de la accidentabilidad y siniestralidad de los trabajadores de la empresa."""
"""Indicador PSC""","""Construcción""","""Con información de la mutual se genera este indicador psicosocial de los trabajadores."""
"""Informe variación de proyecciones de costos""","""Construcción""","""Informe completo de las variaciones de costos consolidado para todos los proyectos. Indica alzas y bajas de la proyección, evolución de la proyección del proyecto."""
"""Evaluaciones de subcontratistas""","""Construcción""","""Corresponde a la nota final promedio por cada subcontratista de Almagro. Para ello se utilizan las evaluaciones de los profesionales de obra en base a diferentes criterios (calidad, solvencia técnica, seguridad, entre otros.). Sirve de utilidad para las licitaciones."""
"""Retenciones provisionadas por obra""","""Construcción""","""Cuanto es lo que tiene cada obra en retención de devoluciones."""
"""Convenios con proveedores""","""Construcción""","""Corresponde al listado de productos en convenio con cada proveedor en cada zona y en cada empresa."""
"""Cotizaciones de materiales""","""Construcción""","""Precio real entregado por el proveedor por un monto o cantidad de producto en un momento dado, con una vigencia limitada."""
"""Órdenes de compra""","""Construcción""","""Documento que refleja un acuerdo comercial entre dos partes emitido por el comprador al proveedor."""
"""Recepción de materiales""","""Construcción""","""Es un documento asociado a la orden de compra que indica esta última se hace efectiva."""
"""Nómina de pagos""","""Construcción""","""Pago de los documentos tributarios emitidos por los proveedores que estan aprobados para poder ser pagados. La sumatoria de todas las facturas en los distintos centros de gestión se incorporan a través de esta nómina de pagos que se generan quincenal o mensualmente. Es el pago de la compañía a los proveedores."""
"""Datos de identificación de proveedores""","""Construcción""","""Datos de los proveedores publicados en el market place de I-Construye. Estos datos incluyen el RUT, razón social y representante legal de la empresa; y el nombre, apellido, teléfono y correo electrónico de los subcontratistas. Si el proveedor está integrado a la plataforma I-Construye, este puede administrar los datos de contacto que publica, mientras que sí no es el caso, cada empresa puede establecer sus contactos de proveedores, sin modificar RUT ni razón social."""
"""Indicadores de gestión documental I-Construye""","""Construcción""","""Panel de indicadores con los colores rojo, amarillo, verde, dependiendo de cuántos documentos (órdenes de compra, facturas, etc.) tengo pendiente de aprobar."""
"""Factura""","""Construcción""","""Una factura es un documento tributario emitido por el proveedor que refleja toda la información de una operación de compraventa y que da una obligación de pago en un plazo específico. La factura puede estar asociada a un estado de pago o a una guía de despacho."""
"""Guía de despacho""","""Construcción""","""Documento con el que se hacen las recepciones de productos o servicios. """
"""Proveedores integrados a I-Construye""","""Construcción""","""Corresponde a aquellos proveedores enrolados en la plataforma de I-Construye y que forman parte de la comunidad de empresas en el market-place de I-Construye."""
"""Pedidos de materiales I-Construye""","""Construcción""","""El pedido de materiales es usado para listar las necesidades de producto o materiales que son necesarios para realizar sus tareas y poder funcionar. Mientras no se genere una orden de compra, los pedidos de materiales se mantienen dentro de la plataforma I-Construye."""
"""Arriendo de equipos y maquinarias I-Construye""","""Construcción""","""Modulo habilitado para proveedores que permite arrendar equipos y maquinarias y sobre el periodo que lo tienen en arriendo generar la facturación mensual a cada proyecto."""
"""Gestión de bodegas I-Construye""","""Construcción""","""Módulo de I-Construye que apunta al control de inventario, control de recepciones y salidas de productos, para reflejar las existencias."""
"""Reportes I-Construye""","""Construcción""","""En I-Construye se generan reportes para las órdenes de compra y pedidos de materiales, contratos y estados de pago (reportes subcontratos), movimientos de bodega (reportes bodega), control pago y documentos tributarios recibidos (reportes de facturación) y reportes de facturación electrónica."""
"""Inventario""","""Construcción""","""Listado de productos disponible en bodegas por cada uno de los centros de gestión de la empresa, se lista cantidad, precio promedio ponderado, código y descripción. Es el resultado de la suma de los ingresos menos las salidas que corresponden a las existencias."""
"""Oficina de partes (electrónica)""","""Construcción""","""Instancia electrónica para el repositorio de documentos electrónicos, incluyendo el módulo de facturacion electrónica."""
"""Subcontrato proveedores""","""Construcción""","""Contratos entre el mandante y el subcontratista para realizar una determinada labor, con ciertas clausulas como avances, retenciones o anticipos de ambas partes."""
"""Anexo proveedores""","""Construcción""","""Documento que se agrega al contrato original con los proveedores y corresponde generalmente a aumentos de contrato, diminuciones de contratos o contratación de nuevas actividades."""
"""Estados de pago""","""Construcción""","""El estado de pago corresponde al pago en forma parcial o total de los subcontratos adquiridos, dependiendo de avance y la conformidad de dicho contrato. Existen estados de pago anticipo, estados de pago avance y estados de pago retenidos."""
"""Centros de gestión IConstruye""","""Construcción""","""Corresponde a un centro de costo basado en una unidad de negocio independiente a la otra y puede corresponder a un proyecto, un edificio, una gerencia, etc."""
"""Elementos de imputación""","""Construcción""","""Permite una estructura contable válida en SAP y tiene relación con aquellos elementos al que un centro de gestión puede asignar/imputar costos."""
"""Usuarios IConstruye""","""Construcción""","""Usuarios creados dentro de la plataforma I-Construye que pueden ser operativos o de consulta y que se asocian a uno o más centros de gestión. Asociado a un usuario se encuentran los perfiles."""
"""Perfiles IConstruye""","""Construcción""","""Cada perfil tiene un listado determinado de roles que son los realizar distintas acciones dentro de la plataforma I-Construye."""
"""Roles IConstruye""","""Construcción""","""Listado de definiciones asociadas a las funciones del usuario, se agrupan en perfiles que dependen del cargo del usuario. Por ejemplo, tengo el perfil de administrador de obra y de jefe de bodega con distintos rolaes cada uno dependiendo de las funciones de su cargo."""
"""Código de producto iConstruye""","""Construcción""","""Corresponde a la identificación del recurso, definido previamente en un maestro de recursos, conocido también como maestro de materiales (MM). El código de producto está asociado a una descripción, unidad de medida y una cuenta contable."""
"""Maestro de recursos - Maestro de materiales (MM)""","""Construcción""","""Listado de códigos (recursos) asociado a algún área que permite estandarizar el proceso de compra de bienes y servicios. Cada maestro de recursos puede estar asociado a uno o más centros de gestión."""
"""Maestro de recursos - Marketing (IConstruye)""","""Construcción""","""Listado de recursos asociado al área de marketing a nivel corporativo. Cada recurso tiene asociado un código, una descripción, una unidad de medida y una cuenta contable."""
"""Maestro de recursos - Sala de ventas (IConstruye)""","""Construcción""","""Listado de recursos asociados a las salas de venta a nivel corporativo. Cada recurso tiene asociado un código, una descripción, una unidad de medida y una cuenta contable."""
"""Maestro de recursos - Desarrollo (IConstruye)""","""Construcción""","""Listado de recursos asociado al área de desarrollo a nivel empresa (Socovesa, Socovesa Sur y Almagro). Cada recurso tiene asociado un código, una descripción, una unidad de medida y una cuenta contable."""
"""Maestro de recursos - Arquitectura (IConstruye)""","""Construcción""","""Listado de recursos asociado al área de arquitectura a nivel corporativo. Cada recurso tiene asociado un código, una descripción, una unidad de medida y una cuenta contable."""
"""Maestro de recursos - Gastos de Administración y Ventas (IConstruye)""","""Construcción""","""Listado de recursos asociado al área de administración y ventas a nivel corporativo. Cada recurso tiene asociado un código, una descripción, una unidad de medida y una cuenta contable."""
"""Política de gastos - Rindegastos""","""Contabilidad""","""Cada política de gastos tiene configuraciones propias asociadas a código, cuenta, elementos de imputación, tipos de documentos, usuarios, etc. y corresponde al punto de acceso para que uno o varios usuarios puedan rendir los gastos en una determinada área."""
"""Fondo fijo - Rindegasto""","""Contabilidad""","""Corresponde a la cantidad de dinero asignada a un usuario por concepto de caja chica, para solventar gastos necesarios del área. El fondo fijo a cada usuario está reflejado en SAP."""
"""Flujo de aprobación - Rindegastos""","""Contabilidad""","""Está definido a partir de una política y tiene relación con la aprobación (usuarios aprobadores) del gasto a quienes rinden (usuarios rendidores)."""
"""Rendidores - Rindegastos""","""Contabilidad""","""Usuario que tiene un fondo fijo asignado y que por tal monto debe rendir lo gastado. (puede rendir hasta el monto asignado)"""
"""Informe de gastos - Rindegastos""","""Contabilidad""","""Es la sumatoria de cada gasto rendido por usuario que detalla para cada gasto el monto, el detalle, proveedor, empresa, etc."""
"""Datos de identificación del cotizante""","""Comercial""","""Corresponde al conjunto de datos que se relacionan con el cotizante y los identifican. Estos datos son los siguientes: nombre, apellido, RUT, género, estado civil y ocupación. Esta información es obtenida a través de portales de información (Enlace inmobiliario, Portal inmobiliario, TOC-TOC y facebook leads), sitios web de marcas y a través de cotización en el sistema SCI."""
"""Datos de contacto del cotizante""","""Comercial""","""Corresponde al grupo de datos que permite establecer una comunicación con el cotizante. Estos corresponden a: Dirección, comuna, correo electrónico y teléfono. Esta información es obtenida a través de portales de información (Enlace inmobiliario, Portal inmobiliario, TOC-TOC y facebook leads), sitios web de las marcas y a través de cotización en el sistema SCI."""
"""Portal de información inmobiliaria""","""Comercial""","""Corresponden a sitios web especializados en la publicación y búsqueda de propiedades inmobiliarias, ya sean de venta o alquiler. Algunos ejemplos son: portal inmobiliario, toc-toc y enlace inmobiliario."""
"""Política de gastos (Rindegastos)""","""Finanzas""","""Cada política de gastos tiene configuraciones propias asociadas a código, cuenta, elementos de imputación, tipos de documentos, usuarios, etc.; y corresponde al punto de acceso para que uno o varios usuarios puedan rendir los gastos en una determinada área."""
"""Fondos fijos (Rindegastos)""","""Finanzas""","""Corresponde a la cantidad de dinero asignada a un usuario por concepto de caja chica, para solventar gastos necesarios del área. El fondo fijo a cada usuario está reflejado en SAP."""
"""Flujo de aprobación (Rindegastos)""","""Finanzas""","""Está definido a partir de una política y tiene relación con la aprobación (usuarios aprobadores) del gasto a quienes rinden (usuarios rendidores)."""
"""Rendidores (Rindegastos)""","""Finanzas""","""Usuario que tiene un fondo fijo asignado y que por tal monto debe rendir lo gastado. (puede rendir hasta el monto asignado)"""
"""Informe de gastos (Rindegastos)""","""Finanzas""","""Es la sumatoria de cada gasto rendido por usuario que detalla para cada gasto el monto, el detalle, proveedor, empresa, etc. (documento que respalda gastos)"""
"""Modificaciones promesa de compraventa""","""Comercial""","""Corresponden a las modificaciones que se realizan en la promesa de compraventa, ya sea por modificaciones a la unidad adquirida, cambio de unidades secundarias, cambia de oferente, cambio en los vencimientos, cambio en la forma de pago, entre otras."""
"""Resciliación de promesa compraventa""","""Comercial""","""Corresponde a la extinción de las obligaciones provenientes de la promesa de compraventa, una vez convenido entre las partes involucradas."""
"""Reserva de inmueble""","""Comercial""","""Un contrato de reserva de vivienda es aquel a través del cual un comprador reserva la vivienda a cambio del pago de una cantidad de dinero que posteriormente se restará del precio de la misma, el vendedor se compromete a entregar el inmueble. Con la reserva, el comprador demuestra a la inmobiliaria su interés y compromiso de comprar la vivienda."""
"""Pre reserva de inmueble""","""Comercial""","""Estado transitorio de venta en la cual el cliente ha manifestado la intención de reserva pero no ha hecho el pago respectivo."""
"""Desistimiento reserva de inmueble""","""Comercial""","""Corresponde a la facultad de un cliente de dejar si efecto la reserva del inmueble, notificándoselo así a la otra parte"""
"""Póliza de seguro venta en verde""","""Comercial""","""Corresponde al seguro de garantía de venta en verde que permite a compradores de inmuebles en construcción tener seguridad sobre los dineros anticipados en caso de que la inmobiliaria no cumpla con sus obligaciones."""
"""Configuración comercial SCI""","""Comercial""","""Rol de administrador de producto. Corresponde al nexo entre ventas y soporte, y es responsable de configuraciones y modificaciones de los proyectos inmobiliarios en el sistema SCI."""
"""Creación de proyecto en SCI""","""Comercial""","""Corresponde a la creación de un proyecto comercial en el sistema SCI, es decir, el ingreso del proyecto inmobiliario y sus características, como lo son, el número de unidades y tipologías, entre otros."""
"""Asignación de roles SCI""","""Comercial""","""Corresponde a la asignación de roles en el sistema SCI de acuerdo al perfil del trabajador."""
"""Comisión vendedores""","""Comercial""","""Corresponde a la cantidad de UF a pago por año de cada vendedor. Para ello se calculan las unidades vendidas (metros cuadrados) de cada vendedor."""
"""Cobros anticipados o prorrogas de pagos al cliente""","""Comercial""","""Corresponde a la posibilidad de que un cliente pague parte o la totalidad del precio de un inmueble antes de la entrega del mismo, o de que se acuerde una prórroga en el plazo de pago de alguna cuota establecida en el contrato de venta. """
"""Promociones y acuerdos comerciales al cliente ""","""Comercial""","""Corresponde a incentivos ofrecidos al cliente como parte de la negociación en la venta de la propiedad, tales como, el pago por referidos o la entrega de una giftcard, entre otros."""
"""Crédito Directo Socovesa (CDS)""","""Comercial""","""Corresponde a una forma de financiamiento que entregaba la empresa a sus clientes en la compra de una propiedad. Actualmente esta modalidad de financiamiento no está vigente. Sin embargo, quedan algunas cuotas pendientes de pago."""
"""Recaudación de saldos reales por diferencia de UF""","""Comercial""","""Se refiere al proceso de ajuste de los pagos realizados por un cliente, en relación a la diferencia entre el valor de la Unidad de Fomento (UF) al momento en que se realizó la compra de la propiedad y el valor actual de la UF al momento del pago."""
"""Recuperación de subsidios y ahorro""","""Comercial""","""La recuperación de subsidios y ahorro se refiere al proceso mediante el cual una inmobiliaria recupera los subsidios y ahorros utilizados por los clientes para la compra de una propiedad. """
"""Seguimiento de escrituración pre-firma""","""Comercial""","""Se refiere al proceso de revisión y gestión de los documentos necesarios para llevar a cabo la escrituración de una propiedad, antes de la firma del contrato de compraventa."""
"""Seguimiento de escrituración posfirma""","""Comercial""","""Se refiere al proceso de gestión y revisión de los documentos necesarios para completar la escrituración de una propiedad después de la firma del contrato de compraventa."""
"""Sitio web""","""Comercial""","""Es un espacio virtual en Internet. Se trata de un conjunto de páginas web que son accesibles desde un mismo dominio o subdominio."""
"""Segmentación de mercado""","""Comercial""","""Corresponde a la división de los clientes en segmentos individuales homogéneos basados en características comunes. Por lo tanto, dentro de cada segmento, los clientes son similares y cada segmento contiene compradores diferentes."""
"""Perfilamiento de clientes""","""Comercial""","""Corresponde a un resumen de las características del consumidor ideal de una empresa. Se basa en información estadística (sexo, edad, ingresos), psicográfica (estilo de vida, valores, deseos) y conductual (hábitos y frecuencia de compra)."""
"""Agencia de marketing""","""Comercial""","""Es una empresa encargada de gestionar las actividades de marketing, con el objetivo de atraer consumidores, incrementar las ventas, fortalecer el branding y generar valor para el mercado."""
"""Render""","""Comercial""","""Se traduce como retratar o representar y corresponde a una imagen digital que se crea a partir de un modelo o escenario 3D realizado en algún programa de computadora especializado, cuyo objetivo es dar una apariencia realista."""
"""Search Engine Marketing (SEM)""","""Comercial""","""Conjunto de herramientas, técnicas y estrategias que nos ayudan a optimizar la visibilidad de sitios y páginas web a través de los motores de los buscadores."""
